Id,IsDeleted,MasterRecordId,AccountId,Salutation,FirstName,LastName,MiddleName,Suffix,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,EmailBouncedReason,EmailBouncedDate,Jigsaw,JigsawContactId,SmartvCard__Organization__c,qbdialer__CloseDate__c,qbdialer__CloseScore__c,qbdialer__ContactDate__c,qbdialer__ContactScoreId__c,qbdialer__ContactScore__c,qbdialer__Dials__c,qbdialer__LastCallTime__c,qbdialer__ResponseTime__c,LID__LinkedIn_Company_Id__c,LID__LinkedIn_Member_Token__c,Other_Email_s__c,Agree_to_FT_License_Agreement__c,Free_Trial_License_Key__c,Free_Trial_Project_Notes__c,Free_Trial_Start_Date__c,Free_Trial_Follow_Up_Notes__c,Free_Trial_Status__c,Signed_up_for_free_trial_on__c,Dev_Edition_Agree_to_License_Agreement__c,Dev_Edition_Date_Signed_Up__c,Free_Trial_Renewed_Date__c,zisf__Person_Has_Moved__c,zisf__ZoomInfo_Complete_Status__c,zisf__ZoomInfo_Email__c,zisf__ZoomInfo_Last_Clean_Run__c,zisf__ZoomInfo_Phone__c,zisf__Zoom_Clean_Status__c,zisf__zoom_id__c,zisf__zoom_lastupdated__c,Alternate_Email__c,LinkedIn_Profile__c,Goal_of_Developer_Edition__c,Goal_of_Developer_Edition_Other__c,Employee_Band__c,Original_Lead_Source__c,Meeting_Status__c
0033600000ChoPbAAJ,0,,0013600000JRBLwAAP,,Chris,McBarton,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Director of National Accounts,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,5/22/18 15:49,2018-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPcAAJ,0,,0013600000JRBLxAAP,,Chris,Owens,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Sr. Talent Acquisition Partner Contract,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPdAAJ,0,,0013600000JRBLyAAP,,Chris,"Thompson, M.A.",,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Board Member - Vice President,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-08-17,00536000006DZLrAAO,8/17/18 22:53,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,Board Member - Membership Director at San Francisco Information Systems Security Association,,,,,
0033600000ChoPeAAJ,0,,0013600000JRBLzAAP,,Chris,Ransdell,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,"Director, Compliance & Support Operations",,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPfAAJ,0,,0013600000JRBM0AAP,,Chris,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Director of Risk Management,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:05,2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPgAAJ,0,,0013600000JRBM1AAP,,Chris,Parselle,,,,,,,,,,,1038 Leigh Ave Suite 220,San Jose,California,95126,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,President,,,Sales Activity,,,00536000001f53BAAQ,1,0,0,2016-05-04,00536000001f53BAAQ,2018-10-26,00536000006DZLrAAO,10/26/18 18:39,2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPhAAJ,0,,0013600001ryqA0AAI,,Chris,Suwalski,,,,,,,,,,,3000 Tannery Way,Santa Clara,California,95054,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Senior Sales Recruiter | Network Security ,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-10-26,00536000006DZLrAAO,10/26/18 18:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPiAAJ,0,,0013600000JRBM2AAP,,Chris,Casals,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Board Member,,,Sales Activity,,,00536000001f53BAAQ,1,0,0,2016-05-04,00536000001f53BAAQ,2018-08-17,00536000006DZLrAAO,8/17/18 22:53,2018-01-04,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,Senior Director of Product Management at Symantec,,,,,
0033600000ChoPjAAJ,0,,0013600000JRBM3AAP,,Chris,Moon,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,CEO/President,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPkAAJ,0,,0013600000JRBLqAAP,,Chris,Spicek,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,VP Worldwide Channel Sales,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,5/22/18 22:02,2018-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPlAAJ,0,,0013600000JRBM4AAP,,Chris,Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Sr. Trainer,,,Sales Activity,,,00536000001f53BAAQ,1,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:05,2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPmAAJ,0,,0013600000JRBM5AAP,,Christian,"Fleming, MBA, PMP, A",,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Senior Manager,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPnAAJ,0,,0013600000JRBM6AAP,,Christina,Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Chairman & Founder,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,5/22/18 19:47,2018-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPoAAJ,0,,0013600000JRBM7AAP,,Christine,Ittycheria,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,"EVP, Chief Technology Officer",,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPpAAJ,0,,0013600000JRBM8AAP,,Christine E.,Wang,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,"Director, Security Awareness and Communications",,,Sales Activity,,,00536000001f53BAAQ,1,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPqAAJ,0,,0013600000JRBM9AAP,,Christopher,Sand,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,"Sr. Director, Digital Product Management",,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:05,2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPrAAJ,0,,0013600000JRBMAAA5,,Christopher,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Inside Sales,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPsAAJ,0,,0013600000JRBLoAAP,,Christopher,Parry,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,"Director, Software Engineering",,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPtAAJ,0,,0013600000JRBMBAA5,,Christopher,Yeung,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Technical Manager - Web Service Delivery,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,2018-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPuAAJ,0,,0013600000JRBMCAA5,,Christopher,"Baylor, Ph.D. MBA",,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Founder,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-08-17,00536000006DZLrAAO,8/17/18 22:53,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,Information Security Executive,,,,,
0033600000ChoPvAAJ,0,,0013600000JRBMDAA5,,Christopher,Perez,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,CMO & Co-Founder,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPwAAJ,0,,0013600000JRBMEAA5,,Christopher,Katanick,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Client Manager,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-08-17,00536000006DZLrAAO,8/17/18 22:53,2018-02-23,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,Senior Account Executive Fishnet Security,,,,,
0033600000ChoPxAAJ,0,,0013600000JRBIuAAP,,Christopher,Pandey,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Vice President Product Marketing,,,Sales Activity,,,0053600000D5mROAAZ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-10-11,0053600000D5bx4AAB,10/11/18 20:53,2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPyAAJ,0,,0013600000JRBM9AAP,,Christopher,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,"Sr. Director, eCommerce Fraud Risk",,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoPzAAJ,0,,0013600000JRBMFAA5,,Christopher,Harris,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Owner,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQ0AAJ,0,,0013600000JRBJHAA5,,Christos,Brant,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Senior Vice President (SVP) of North America Sales,,,Sales Activity,,,00536000001f53BAAQ,1,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQ1AAJ,0,,0013600001ryqA0AAI,,Christos,Sakelson,,,,,,,,,,,3901 Dallas Parkway,Plano,Texas,75093,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,"Manager, Inside Sales Business Dev.",,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-10-26,00536000006DZLrAAO,10/26/18 18:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQ2AAJ,0,,0013600000JRBMGAA5,,Christos,Fry,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,VP,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQ3AAJ,0,,0013600000JRBMHAA5,,Christy,Peccia,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Senior Recruiter,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQ4AAJ,0,,0013600000JRBMIAA5,,Chuck,McCauley,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Regional Sales Manager - NorCal,,,Sales Activity,,,00536000001f53BAAQ,1,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQ5AAJ,0,,0013600000JRBMJAA5,,Chuck,Freiermuth,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Account Executive - Cyber Security,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQ6AAJ,0,,0013600000JRBL0AAP,,Chuck,Rossitto,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Director of Strategic Accounts,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,5/22/18 14:01,2018-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQ7AAJ,0,,0013600000IHy46AAD,,Chuck,Manglona,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Product Manager - Innovation and New Ventures,,,Sales Activity,,,00536000001f53BAAQ,1,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:05,2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQ8AAJ,0,,0013600000JRBMKAA5,,Chun Hung,Ringold,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,"IT Director - Security, Threat and Vulnerability Management",,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:05,2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQ9AAJ,0,,0013600000JRBJnAAP,,Cian,LaBadie,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,VP Global Sales and Business Development,,,Sales Activity,,,0053600000D5bx4AAB,0,0,0,2016-05-04,00536000001f53BAAQ,2018-08-07,00536000006DZLrAAO,8/7/18 23:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQAAAZ,0,,0013600000JRBLHAA5,,Cindy,Donati,,,,,,,,,,,345 Park Avenue,San Jose,California,95110,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,"Director of Sales, Adobe eSign Services",,,Sales Activity,,,00536000006DI2SAAW,0,0,0,2016-05-04,00536000001f53BAAQ,2018-10-27,00536000006DZLrAAO,10/27/18 1:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQBAAZ,0,,0013600000JRBMMAA5,,Cindy,Ho,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,"Sr. Director, Global Sales and Customer Success",,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,5/17/18 19:47,2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQCAAZ,0,,0013600000JRBJAAA5,,Cl‡udio,Ching,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Engineering Director,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQDAAZ,0,,0013600000JRBMNAA5,,Claude,McCafferty,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Managing Partner,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQEAAZ,0,,0013600000JRBLUAA5,,Claude,Hoang,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Principal Software Engineer,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,4/11/18 23:04,2018-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQFAAZ,0,,0013600000JRBMOAA5,,Clayton,LePatner,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Managing Director/CEO,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-08-17,00536000006DZLrAAO,11/13/18 15:12,2018-11-13,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,Software Sales Recruiter For North America,,,,,
0033600000ChoQGAAZ,0,,0013600000JRBMPAA5,,Clayton,Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,"Director, Channel Program",,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,4/12/18 18:42,2018-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQHAAZ,0,,0013600000JRBMQAA5,,Clemens,Bourget,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,VP Product Management,,,Sales Activity,,,00536000001f53BAAQ,1,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:05,2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQIAAZ,0,,0013600000JRBMRAA5,,Clint,Slavin,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,CEO,,,Sales Activity,,,00536000001f53BAAQ,1,0,0,2016-05-04,00536000001f53BAAQ,2018-08-17,00536000006DZLrAAO,8/17/18 22:53,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,Chief Conversion Officer at WebHEAT.com,,,,,
0033600000ChoQJAAZ,0,,0013600000JRBMSAA5,,Clint,Kirst,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Chief Revenue Officer,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQKAAZ,0,,0013600000JRBMTAA5,,Clinton,Betts Fleming,,,,,,,,,,,234 Front Street 2nd Floor,San Francisco,California,94111,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Current Board Member and Member,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-10-26,00536000006DZLrAAO,10/26/18 18:34,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,Recruitment Expert,,,,,
0033600000ChoQLAAZ,0,,0013600000JRBMUAA5,,Clovis,Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,"VP, World-wide Sales",,,Sales Activity,,,0053600000D5mROAAZ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-10-12,0053600000D5bx4AAB,10/12/18 16:01,2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQMAAZ,0,,0013600000JRBJAAA5,,Cody,Ackerman,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Regional Sales Manager - Southern US,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,4/12/18 19:46,2018-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQNAAZ,0,,0013600000JRBLmAAP,,Colette,De Freitas Hensley,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Enterprise Sales Executive,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:05,2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQOAAZ,0,,0013600000JRBMVAA5,,Coley,Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,"Sr. Partner, Global Technology Practice",,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQPAAZ,0,,0013600000JRBMWAA5,,Colin,Santacroce,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,VP of Sales and Marketing David,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQQAAZ,0,,0013600000JRBK3AAP,,Colin,Subramanian,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,VP of Engineering,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,6/24/18 3:28,2018-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQRAAZ,0,,0013600000JRBMXAA5,,Colin,Chang,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,"Member, Board of Directors",,,Sales Activity,,,00536000001f53BAAQ,1,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQSAAZ,0,,0013600000JRBMYAA5,,Colin,Dang,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Inside Sales Manager,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQTAAZ,0,,0013600000JRBMZAA5,,Colin,Keenan,,,,,,,,,,,3 Van De Graaff Drive Suite 2,Burlington,Massachusetts,1803,United States,,,,(650) 206-8888,,(781) 494-5800,,,,,anonymized@vrgcorporation.com,"Vice President, America Sales and Operations",,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-10-26,00536000006DZLrAAO,10/26/18 18:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQUAAZ,0,,0013600000JRBMaAAP,,Colleen,Kalika,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,"Director, Product Management",,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQVAAZ,0,,0013600000JRBMbAAP,,Colt,Lauritzen,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,CIO,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,3/21/18 20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033600000ChoQWAAZ,0,,0013600000JRBMcAAP,,Connie,Kolhatkar,,,,,,,,,,,,,,,,,,,,,,,,,,anonymized@vrgcorporation.com,Chief Analytics Officer and Co-Founder,,,Sales Activity,,,00536000001f53BAAQ,0,0,0,2016-05-04,00536000001f53BAAQ,2018-03-21,00536000006DZLrAAO,5/22/18 18:54,2018-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
